property_id,property_url,purpose,type,added_on,furnishing,price,location,bed_bath_size,permit_number,agent_name,primary_image_url,breadcrumbs,amenities,description
Bayut - 6012-XiPSSE,https://www.bayut.com/property/details-11999197.html,For Rent,Apartment,22-Jun-25,Unfurnished,"{'currency': 'AED', 'amount': '79,999'}",Barsha Heights (Tecom),"{'bedrooms': '1', 'bathrooms': '2', 'size': '858 sqft'}",,Faisal Nawaz,https://images.bayut.com/thumbnails/781422000-800x600.jpeg,,,
Bayut - Awa-3Br-Maha,https://www.bayut.com/property/details-11957610.html,For Rent,Townhouse,18-Jun-25,Unfurnished,"{'currency': 'AED', 'amount': '160,000'}",Dubai Hills Estate,"{'bedrooms': '1', 'bathrooms': '2', 'size': '1,894 sqft'}",,Awais Nawaz,https://images.bayut.com/thumbnails/778952310-400x300.jpeg,,,
Bayut - studio-rent-bloom-furnished-jvc,https://www.bayut.com/property/details-12003619.html,For Rent,Apartment,23-Jun-25,Furnished,"{'currency': 'AED', 'amount': '57,999'}",Jumeirah Village Circle (JVC),"{'bedrooms': ""{'@type': 'QuantitativeValue', 'name': 'Bedroom(s)', 'value': '0'}"", 'bathrooms': '1', 'size': '409 sqft'}",,Khurram Shehzad,https://images.bayut.com/thumbnails/781370648-800x600.jpeg,,,
Bayut - 100037-IPEEU1,https://www.bayut.com/property/details-12027579.html,For Rent,Apartment,25-Jun-25,Unfurnished,"{'currency': 'AED', 'amount': '80,000'}",Jumeirah Village Circle (JVC),"{'bedrooms': '1', 'bathrooms': '2', 'size': '819 sqft'}",,Farhan Ahmad,https://images.bayut.com/thumbnails/781368726-800x600.jpeg,,,
Bayut - CPR402,https://www.bayut.com/property/details-12027699.html,For Rent,Apartment,25-Jun-25,Furnished,"{'currency': 'AED', 'amount': '95,000'}",Dubai Sports City,"{'bedrooms': '1', 'bathrooms': '2', 'size': '847 sqft'}",,Hagop Ghazarian,https://images.bayut.com/thumbnails/781365268-800x600.jpeg,,,
Bayut - RL-142771,https://www.bayut.com/property/details-12000906.html,For Rent,Apartment,23-Jun-25,Furnished,"{'currency': 'AED', 'amount': '175,000'}",Dubai Marina,"{'bedrooms': '1', 'bathrooms': '2', 'size': '791 sqft'}",,Philip Neile,https://images.bayut.com/thumbnails/780828765-800x600.jpeg,,,
Bayut - 100989-9YcJjg,https://www.bayut.com/property/details-12056815.html,For Rent,Apartment,28-Jun-25,Furnished,"{'currency': 'AED', 'amount': '85,000'}",Meydan City,"{'bedrooms': '1', 'bathrooms': '2', 'size': '472 sqft'}",,Asim Ali Shah,https://images.bayut.com/thumbnails/781915829-800x600.jpeg,,,
Bayut - AP27127L,https://www.bayut.com/property/details-12000132.html,For Rent,Apartment,23-Jun-25,Unfurnished,"{'currency': 'AED', 'amount': '205,000'}",Palm Jumeirah,"{'bedrooms': '3', 'bathrooms': '4', 'size': '2,046 sqft'}",,Jake Kelsall,https://images.bayut.com/thumbnails/780815242-800x600.jpeg,,,
Bayut - L-226322__A,https://www.bayut.com/property/details-12051084.html,For Rent,Apartment,27-Jun-25,Unfurnished,"{'currency': 'AED', 'amount': '230,000'}",Dubai Marina,"{'bedrooms': '2', 'bathrooms': '2', 'size': '1,157 sqft'}",,Charles Done,https://images.bayut.com/thumbnails/781828015-800x600.jpeg,,,
Bayut - L-224456,https://www.bayut.com/property/details-8182805.html,For Rent,Apartment,08-Apr-25,Furnished,"{'currency': 'AED', 'amount': '160,000'}",Business Bay,"{'bedrooms': '4', 'bathrooms': '5', 'size': '788 sqft'}",,Krishna Lakhani,https://images.bayut.com/thumbnails/768010822-800x600.jpeg,,,
